ID,SubCompanyID,SubCompanyName,LocationID,BranchCode,BranchFullName,LocationName,Code,SubCompanyNameVN,BranchFullNameVN,LocationNameVN
1641,42,Vung 5,8,14,HCM - Ho Chi Minh 14,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 14,Hồ Chí Minh
1651,42,Vung 5,8,15,HCM - Ho Chi Minh 15,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 15,Hồ Chí Minh
1661,42,Vung 5,8,16,HCM - Ho Chi Minh 16,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 16,Hồ Chí Minh
1671,22,Vung 3,31,1,HPG - Hai Phong 01,Hai Phong,HPG,Vùng 3,HPG - Hải Phòng 01,Hải Phòng
1681,22,Vung 3,31,2,HPG - Hai Phong 02,Hai Phong,HPG,Vùng 3,HPG - Hải Phòng 02,Hải Phòng
1691,22,Vung 3,31,3,HPG - Hai Phong 03,Hai Phong,HPG,Vùng 3,HPG - Hải Phòng 03,Hải Phòng
1701,22,Vung 3,31,4,HPG - Hai Phong 04,Hai Phong,HPG,Vùng 3,HPG - Hải Phòng 04,Hải Phòng
1711,22,Vung 3,31,5,HPG - Hai Phong 05,Hai Phong,HPG,Vùng 3,HPG - Hải Phòng 05,Hải Phòng
1721,52,Vung 6,65,1,BDG - Binh Duong 01,Binh Duong,BDG,Vùng 6,BDG - Bình Dương 01,Bình Dương
1731,52,Vung 6,65,2,BDG - Binh Duong 02,Binh Duong,BDG,Vùng 6,BDG - Bình Dương 02,Bình Dương
1741,52,Vung 6,65,3,BDG - Binh Duong 03,Binh Duong,BDG,Vùng 6,BDG - Bình Dương 03,Bình Dương
1742,22,Vung 3,31,6,HPG - Hai Phong 06,Hai Phong,HPG,Vùng 3,HPG - Hải Phòng 06,Hải Phòng
1743,52,Vung 6,61,2,DNI - Dong Nai 02,Dong Nai,DNI,Vùng 6,DNI - Đồng Nai 02,Đồng Nai
1744,52,Vung 6,61,3,DNI - Dong Nai 03,Dong Nai,DNI,Vùng 6,DNI - Đồng Nai 03,Đồng Nai
1745,52,Vung 6,61,4,DNI - Dong Nai 04,Dong Nai,DNI,Vùng 6,DNI - Đồng Nai 04,Đồng Nai
1746,12,Vung 2,33,1,QNH - Quang Ninh 01,Quang Ninh,QNH,Vùng 2,QNH - Quảng Ninh 01,Quảng Ninh
1747,12,Vung 2,33,2,QNH - Quang Ninh 02,Quang Ninh,QNH,Vùng 2,QNH - Quảng Ninh 02,Quảng Ninh
1748,12,Vung 2,33,3,QNH - Quang Ninh 03,Quang Ninh,QNH,Vùng 2,QNH - Quảng Ninh 03,Quảng Ninh
1749,22,Vung 3,320,1,HDG - Hai Duong 01,Hai Duong,HDG,Vùng 3,HDG - Hải Dương 01,Hải Dương
1750,22,Vung 3,320,2,HDG - Hai Duong 02,Hai Duong,HDG,Vùng 3,HDG - Hải Dương 02,Hải Dương
1751,22,Vung 3,320,3,HDG - Hai Duong 03,Hai Duong,HDG,Vùng 3,HDG - Hải Dương 03,Hải Dương
1752,22,Vung 3,320,4,HDG - Hai Duong 04,Hai Duong,HDG,Vùng 3,HDG - Hải Dương 04,Hải Dương
